月,BX3,C204,D200Z,D300,D500,D800Z,DA300,DA500,EDAC1/EDFH1,EDAF2,EDAF3,EDBV8,EDNC10,"EDNC15,EDNC17",EDNC20,GT1/AAC1,J4,J5,J6,K,KE-55,L2,LB300,N2,PX52,U1310,U3,U6,U86,UP6 H.E.A.T.,UPN,UPV-3,V100S,V22,V300,V33i,V56i,V77,V80S/V90S,V900,V99,W32FB,W53FB,iQ300,iQ500
2026-04,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
2026-05,7,2,4,0,1,1,12,7,0,0,0,1,0,1,0,1,0,4,5,0,1,0,0,0,1,0,0,0,2,1,0,2,1,1,2,29,7,2,3,0,2,0,0,6,1
2026-06,7,0,4,1,3,2,14,6,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,2,0,0,2,0,0,0,3,0,3,6,33,13,4,4,1,1,1,0,5,4
2026-07,7,1,3,1,1,1,14,9,0,1,0,1,1,0,0,0,0,0,6,1,0,22,0,5,0,0,0,0,0,0,1,0,0,3,8,29,8,4,4,1,2,0,2,6,2
2026-08,7,0,5,0,2,0,10,10,0,0,0,0,1,0,0,0,5,3,9,0,1,0,0,1,0,1,0,1,1,0,0,2,0,2,6,22,10,0,3,4,0,1,0,1,3
2026-09,8,0,5,2,4,0,15,10,4,0,0,0,0,0,0,0,0,0,8,1,1,0,0,5,0,0,0,0,0,0,1,3,0,3,3,19,9,1,3,5,1,0,0,3,4
2026-10,8,0,6,1,4,0,17,10,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0,0,2,6,4,3,1,3,4,0,0,0,1,4
2026-11,9,0,4,0,4,1,8,11,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,1,1,6,2,0,0,0,0
2026-12,5,0,2,0,0,0,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,3,0,0,4,0,1,0,0,0
2027-01,0,0,2,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0
2027-02,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,3,0,0,0,0,0
2027-03,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2027-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0
